id,country_code,province_code,city_code,district_code,level,parent_code,province_name,city_name,district_name,short_city_name,city_tier,city_cluster,is_municipality,is_subprovincial,gdp,population,gdp_per_capita,income_per_capita,stats_year,citycode,center_lon,center_lat,created_at,updated_at
3314,CN,620000,620500,620521,district,620500,甘肃省,天水市,清水县,,,,False,False,,,,,,0938,106.137318,34.749906,2025-12-05 23:50:09,2025-12-05 23:50:09
3315,CN,620000,620500,620503,district,620500,甘肃省,天水市,麦积区,,,,False,False,,,,,,0938,105.889452,34.571143,2025-12-05 23:50:09,2025-12-05 23:50:09
3316,CN,620000,620500,620502,district,620500,甘肃省,天水市,秦州区,,,,False,False,,,,,,0938,105.724914,34.581187,2025-12-05 23:50:09,2025-12-05 23:50:09
3317,CN,620000,620500,620524,district,620500,甘肃省,天水市,武山县,,,,False,False,,,,,,0938,104.89121,34.72183,2025-12-05 23:50:09,2025-12-05 23:50:09
3318,CN,620000,620500,620523,district,620500,甘肃省,天水市,甘谷县,,,,False,False,,,,,,0938,105.340789,34.745447,2025-12-05 23:50:09,2025-12-05 23:50:09
3319,CN,620000,620500,620525,district,620500,甘肃省,天水市,张家川回族自治县,,,,False,False,,,,,,0938,106.20513,34.988676,2025-12-05 23:50:09,2025-12-05 23:50:09
3320,CN,620000,620500,620522,district,620500,甘肃省,天水市,秦安县,,,,False,False,,,,,,0938,105.675799,34.859094,2025-12-05 23:50:09,2025-12-05 23:50:09
3321,CN,620000,620600,620602,district,620600,甘肃省,武威市,凉州区,,,,False,False,,,,,,1935,102.641959,37.928217,2025-12-05 23:50:09,2025-12-05 23:50:09
3322,CN,620000,620600,620622,district,620600,甘肃省,武威市,古浪县,,,,False,False,,,,,,1935,102.897542,37.470882,2025-12-05 23:50:09,2025-12-05 23:50:09
3323,CN,620000,620600,620621,district,620600,甘肃省,武威市,民勤县,,,,False,False,,,,,,1935,103.093671,38.624293,2025-12-05 23:50:09,2025-12-05 23:50:09
3324,CN,620000,620600,620623,district,620600,甘肃省,武威市,天祝藏族自治县,,,,False,False,,,,,,1935,103.142416,36.971978,2025-12-05 23:50:09,2025-12-05 23:50:09
3325,CN,620000,620700,620721,district,620700,甘肃省,张掖市,肃南裕固族自治县,,,,False,False,,,,,,0936,99.627762,38.839221,2025-12-05 23:50:09,2025-12-05 23:50:09
3326,CN,620000,620700,620724,district,620700,甘肃省,张掖市,高台县,,,,False,False,,,,,,0936,99.819265,39.378294,2025-12-05 23:50:09,2025-12-05 23:50:09
3327,CN,620000,620700,620723,district,620700,甘肃省,张掖市,临泽县,,,,False,False,,,,,,0936,100.164333,39.15224,2025-12-05 23:50:09,2025-12-05 23:50:09
3328,CN,620000,620700,620702,district,620700,甘肃省,张掖市,甘州区,,,,False,False,,,,,,0936,100.415324,38.944315,2025-12-05 23:50:09,2025-12-05 23:50:09
3329,CN,620000,620700,620722,district,620700,甘肃省,张掖市,民乐县,,,,False,False,,,,,,0936,100.812047,38.430318,2025-12-05 23:50:09,2025-12-05 23:50:09
3330,CN,620000,620700,620725,district,620700,甘肃省,张掖市,山丹县,,,,False,False,,,,,,0936,101.088611,38.7846,2025-12-05 23:50:09,2025-12-05 23:50:09
3331,CN,620000,620800,620802,district,620800,甘肃省,平凉市,崆峒区,,,,False,False,,,,,,0933,106.67489,35.542437,2025-12-05 23:50:09,2025-12-05 23:50:09
3332,CN,620000,620800,620825,district,620800,甘肃省,平凉市,庄浪县,,,,False,False,,,,,,0933,106.036201,35.20266,2025-12-05 23:50:09,2025-12-05 23:50:09
3333,CN,620000,620800,620826,district,620800,甘肃省,平凉市,静宁县,,,,False,False,,,,,,0933,105.732165,35.522035,2025-12-05 23:50:09,2025-12-05 23:50:09
3334,CN,620000,620800,620881,district,620800,甘肃省,平凉市,华亭市,,,,False,False,,,,,,0933,106.628899,35.207695,2025-12-05 23:50:09,2025-12-05 23:50:09
3335,CN,620000,620800,620822,district,620800,甘肃省,平凉市,灵台县,,,,False,False,,,,,,0933,107.595874,35.070027,2025-12-05 23:50:09,2025-12-05 23:50:09
3336,CN,620000,620800,620823,district,620800,甘肃省,平凉市,崇信县,,,,False,False,,,,,,0933,107.025762,35.305648,2025-12-05 23:50:09,2025-12-05 23:50:09
3337,CN,620000,620800,620821,district,620800,甘肃省,平凉市,泾川县,,,,False,False,,,,,,0933,107.367608,35.332992,2025-12-05 23:50:09,2025-12-05 23:50:09
3338,CN,620000,620900,620923,district,620900,甘肃省,酒泉市,肃北蒙古族自治县,,,,False,False,,,,,,0937,94.876533,39.512158,2025-12-05 23:50:09,2025-12-05 23:50:09
3339,CN,620000,620900,620982,district,620900,甘肃省,酒泉市,敦煌市,,,,False,False,,,,,,0937,94.66201,40.142141,2025-12-05 23:50:09,2025-12-05 23:50:09
3340,CN,620000,620900,620981,district,620900,甘肃省,酒泉市,玉门市,,,,False,False,,,,,,0937,97.045617,40.292344,2025-12-05 23:50:09,2025-12-05 23:50:09
