id,name,city_name,district_name
3832,环球中心,成都市,武侯区
3833,苏宁广场,成都市,武侯区
3834,苏宁广场城市奥特莱斯,成都市,武侯区
3835,莱蒙都会,成都市,武侯区
3836,龙湖成都金楠天街,成都市,武侯区
3846,成都合生汇,成都市,温江区
3910,龙湖成都时代天街,成都市,郫都区
3953,OCT华侨城生活广场,成都市,金牛区
3954,万裕生活广场,成都市,金牛区
3956,万达广场送车点-益安,成都市,金牛区
3957,中海国际购物公园,成都市,金牛区
3958,凯德广场,成都市,金牛区
3959,凯德广场·金牛2期,成都市,金牛区
3961,城中汇购物中心,成都市,金牛区
3963,恒业国际日用品商城,成都市,金牛区
3964,成都国际商贸城功能区,成都市,金牛区
3966,成都金牛招商花园城,成都市,金牛区
3967,旺马仕名品广场,成都市,金牛区
3969,沐府汇MUFUPAPK,成都市,金牛区
3970,沙湾印象汇,成都市,金牛区
3971,苏宁百货,成都市,金牛区
3972,荷花池16区,成都市,金牛区
3973,荷花金池市场,成都市,金牛区
3975,龙湖·西宸天街,成都市,金牛区
3976,龙湖成都上城天街,成都市,金牛区
3977,龙湖成都北城天街,成都市,金牛区
3986,成都IFS,成都市,锦江区
3989,成都太古里,成都市,锦江区
3995,王府井百货,成都市,锦江区
4053,成都世茂广场,成都市,龙泉驿区
4142,泸州万象汇,泸州市,江阳区
4384,自贡华商爱琴海购物公园,自贡市,自流井区
5082,新百中心C馆,银川市,兴庆区
5134,中海环宇天地,银川市,金凤区
5135,中海生活汇,银川市,金凤区
5136,北京华联购物中心,银川市,金凤区
5137,建发悠阅城,银川市,金凤区
5138,新华百货,银川市,金凤区
5139,新华百货CC Park购物广场(C1门),银川市,金凤区
5140,新华百货CC Park购物广场B座,银川市,金凤区
5143,新华联购物中心,银川市,金凤区
5144,新城商业广场,银川市,金凤区
5146,海悦广场,银川市,金凤区
5147,湖景商业广场,银川市,金凤区
5148,王府井奥莱,银川市,金凤区
5149,盈华购物中心,银川市,金凤区
5150,西夏商城,银川市,金凤区
5151,金凤万达广场,银川市,金凤区
5152,金风新华联广场,银川市,金凤区
5153,银川阿拉善广场,银川市,金凤区
5158,龙马·新天地,银川市,金凤区
5286,万达广场,六安市,金安区
5351,53度广场,合肥市,包河区
5352,万达广场,合肥市,包河区
5353,中海滨湖环宇天地,合肥市,包河区
5354,中海环宇天地,合肥市,包河区
5355,加侨国际广场,合肥市,包河区
5356,包河万象汇,合肥市,包河区
5357,合肥唯品会城市奥莱,合肥市,包河区
5358,合肥杉杉奥特莱斯,合肥市,包河区
5360,合肥滨湖爱琴海购物中心,合肥市,包河区
5361,合肥绿地大融城,合肥市,包河区
5362,合肥首创奥特莱斯,合肥市,包河区
5363,悦方ID MALL,合肥市,包河区
5364,新都会环球购物广场,合肥市,包河区
5368,百大购物中心,合肥市,包河区
5371,绿地缤纷城,合肥市,包河区
5372,联家时代广场,合肥市,包河区
5373,融创茂,合肥市,包河区
5374,金谷广场,合肥市,包河区
5375,银泰百货,合肥市,包河区
5408,CBD城市奥莱,合肥市,庐阳区
5409,万科广场,合肥市,庐阳区
5410,万科森生活汇,合肥市,庐阳区
5412,合肥市百货大楼,合肥市,庐阳区
5413,合肥悦城融侨里,合肥市,庐阳区
5414,合肥欢乐颂,合肥市,庐阳区
5415,合肥银泰中心,合肥市,庐阳区
5416,商之都B座,合肥市,庐阳区
5417,尚街时尚购物广场,合肥市,庐阳区
5418,庐州印象,合肥市,庐阳区
5419,新天地国际购物中心,合肥市,庐阳区
5420,新时代广场,合肥市,庐阳区
5421,明发商业广场,合肥市,庐阳区
5423,港荣百货,合肥市,庐阳区
5427,绿都商城,合肥市,庐阳区
5428,美好荟,合肥市,庐阳区
5429,荟聚,合肥市,庐阳区
5431,银泰中心二期,合肥市,庐阳区
5432,香港广场,合肥市,庐阳区
5498,中环购物中心,合肥市,蜀山区
5499,北京华联长江西路购物中心,合肥市,蜀山区
5500,合肥万象城,合肥市,蜀山区
5501,合肥之心城购物中心,合肥市,蜀山区
5502,合肥银泰in77,合肥市,蜀山区
5504,国耀星达城,合肥市,蜀山区
5505,国购广场,合肥市,蜀山区
5506,大唐国际购物广场,合肥市,蜀山区
5507,天珑广场,合肥市,蜀山区
5508,天珑广场·天珑汇,合肥市,蜀山区
5510,安高广场,合肥市,蜀山区
5511,弘阳广场,合肥市,蜀山区
5512,摩尔广场(东至路),合肥市,蜀山区
5513,正大广场,合肥市,蜀山区
5514,港澳广场,合肥市,蜀山区
5515,百乐门广场,合肥市,蜀山区
5516,百大鼓楼高新商厦,合肥市,蜀山区
5517,砂之船(合肥)奥莱,合肥市,蜀山区
5518,置地广场星光荟,合肥市,蜀山区
5520,银泰百货,合肥市,蜀山区
5522,龙湖合肥高新天街,合肥市,蜀山区
6192,八佰伴,芜湖市,镜湖区
6284,万达广场,蚌埠市,蚌山区
6285,光彩大市场2区,蚌埠市,蚌山区
6291,商之都,蚌埠市,蚌山区
6292,天星百货,蚌埠市,蚌山区
6293,天洋国际·风信子城,蚌埠市,蚌山区
6294,宝龙城市广场B区,蚌埠市,蚌山区
6295,宝龙广场,蚌埠市,蚌山区
6298,新世纪国际购物中心,蚌埠市,蚌山区
6300,泷湖湾生活广场,蚌埠市,蚌山区
6301,百大名品中心,蚌埠市,蚌山区
6302,百大购物中心,蚌埠市,蚌山区
6303,百惠国际购物中心(淮河路),蚌埠市,蚌山区
6305,蚌埠百大,蚌埠市,蚌山区
6306,蚌埠百货大楼,蚌埠市,蚌山区
6308,龙湖新天地,蚌埠市,蚌山区
6501,阜阳商厦时代广场,阜阳市,颍州区
6580,马鞍山金鹰购物中心,马鞍山市,花山区
6721,临沂万象汇,临沂市,兰山区
6948,威高广场,威海市,环翠区
7090,澳德乐时代广场B座,德州市,德城区
7163,日照万象汇,日照市,东港区
7410,泰安万达广场,泰安市,泰山区
7458,济南万象城,济南市,历下区
7459,济南恒隆广场,济南市,历下区
7461,济南高新万达广场,济南市,历下区
7465,贵和购物中心,济南市,历下区
7536,万达广场,济南市,市中区
7538,中海·环宇城,济南市,市中区
7539,华联生活广场,济南市,市中区
7540,同福商城,济南市,市中区
7542,大观园文化商城,济南市,市中区
7543,尚品1街,济南市,市中区
7544,悦动城,济南市,市中区
7545,振华商厦,济南市,市中区
7546,明珠顶汇,济南市,市中区
7547,欧亚大观乐活城,济南市,市中区
7549,济南市新世界地下商城,济南市,市中区
7550,祥泰广场6号楼,济南市,市中区
7551,英雄山人防商城,济南市,市中区
7553,英雄山人防商城A2(出入口),济南市,市中区
7556,西河邻里中心,济南市,市中区
7557,贵和购物中心,济南市,市中区
7558,银座·奥特莱斯,济南市,市中区
7574,和谐广场,济南市,槐荫区
