old_mall_name,new_name
武商MALLC座,武商MALLA1座
三亚国际免税城1期,三亚国际免税城
南京城北万象汇B馆,南京城北万象汇
青岛万象城1期,青岛万象城
嘉兴八佰伴(中山路店),嘉兴八佰伴
成都IFS国际金融中心,成都IFS
成都科华王府井,成都王府井购物中心
镇江八佰伴(中山东路店),镇江八佰伴
贵阳国贸广场,国贸广场
八佰伴(溧阳店),八佰伴
大连亿合城,亿合城
卓展购物中心A座,卓展购物中心(重庆路店-B座)
金牛凯德广场,凯德广场
荆州万达,荆州古城万达广场
金鹰国际广场(新街口店),金鹰国际购物中心新街口店A座
成都来福士广场,成都来福士广场
龙岩万宝广场,万宝广场
武汉天地壹方购物中心,武汉天地壹方南馆西座
西安万象城,西安万象城(生命之树)
杭州大厦购物城D座(华浙店),杭州大厦购物城A座
自贡华商爱琴海购物中心B馆,自贡华商爱琴海购物公园
西安曲江金池,西安金地广场
王府井百货B馆,王府井百货
莆田万达广场,万达广场
澳德乐时代广场,澳德乐时代广场B座
广州融创,融创茂
郑州原万达,万达广场
汇嘉时代广场(北京路店),汇嘉时代广场
宝安大仟里,大仟里购物中心
明州里商场,明州里
万达百货(东莞东城万达广场店),东莞东城万达广场
万象城3期,深圳万象城-2期
郑州正弘汇,正弘生活广场
金鹰国际购物中心(泰州店),金鹰国际购物中心
永旺梦乐城(武汉金银潭店),永旺梦乐城
金鹰湖滨天地A区,金鹰湖滨天地
王府井百货(总府店),王府井百货
Paradise Walk(龙湖杭州滨江天街店),龙湖杭州滨江天街
厦门湾悦城,湾悦城购物中心
禾巷东区购物中心(泰禾广场西区店),泰禾广场西区
上海k11购物艺术中心,上海k11购物艺术中心
尚嘉中心,尚嘉中心
南昌大悦城,南昌大悦城
世博源,世博源
玖隆茂购物中心,玖隆茂购物中心
上海世茂广场,上海世茂广场
恒基名人购物中心,恒基名人购物中心
桐乡万象汇,桐乡万象汇
台州椒江宝龙城,台州椒江宝龙城
上百万和城,上百万和城
王府井购物中心,王府井购物中心
大上海时代广场,大上海时代广场
百联西郊购物中心,百联西郊购物中心
西亚和美广场,西亚和美广场
安庆弘阳广场,安庆弘阳广场
无锡海岸城,无锡海岸城
上海久光中心,上海久光中心
晶耀前滩Crystal Plaza,晶耀前滩Crystal Plaza
昆山招商花园城,昆山招商花园城
百联又一城购物中心,百联又一城购物中心
九亭金地广场,九亭金地广场
昆山金鹰国际购物中心,昆山金鹰国际购物中心
Gate M西岸梦中心,Gate M西岸梦中心
群光广场,群光广场
悦荟,悦荟
武汉摩尔城,武汉摩尔城
凯德虹口商业中心,凯德虹口商业中心
西北旺万象汇,西北旺万象汇
保山吾悦广场,保山吾悦广场
龙湖北京长楹天街,龙湖北京长楹天街
中百大厦,中百大厦
西三旗万象汇,西三旗万象汇
中央公园光环花园城,中央公园光环花园城
北京朝阳合生汇,北京朝阳合生汇
西单大悦城,西单大悦城
龙湖重庆时代天街,龙湖重庆时代天街
谷德广场,谷德广场
三里屯太古里,三里屯太古里
北京超极合生汇,北京超极合生汇
泰盛广场,泰盛广场
龙湖上海宝山天街,龙湖上海宝山天街
悦荟,悦荟
新世界城,新世界城
正大广场,正大广场
深圳坪山益田假日世界,深圳坪山益田假日世界
港惠购物中心,港惠购物中心
观澜湖新城MH MALL,观澜湖新城MH MALL
环球中心,环球中心
重庆万象城,重庆万象城
成都世茂广场,成都世茂广场
晋江宝龙广场,晋江宝龙广场
遂宁万达广场,遂宁万达广场
龙湖重庆礼嘉天街,龙湖重庆礼嘉天街
凯德和平广场,凯德和平广场
荆州吾悦广场,荆州吾悦广场
百联中环购物广场,百联中环购物广场
拉萨王府井购物中心,拉萨王府井购物中心
长风大悦城,长风大悦城
金鹰财富中心,金鹰财富中心
上海静安大悦城,上海静安大悦城
上海第一八佰伴,上海第一八佰伴
仲盛世界商城,仲盛世界商城
北京荟聚,北京荟聚
怀化鹤城万达广场,怀化鹤城万达广场
益田假日世界购物中心,益田假日世界购物中心
龙湖南宁青秀天街,龙湖南宁青秀天街
龙湖时代天街A馆,龙湖时代天街A馆
勒泰中心,勒泰中心
重庆金开爱琴海,重庆金开爱琴海购物中心
龙湖北京大兴天街,龙湖北京大兴天街
华熙LIVE·五棵松,华熙LIVE·五棵松
颐堤港,颐堤港
北京东方新天地,北京东方新天地
百捷上悦城,百捷上悦城
云门New Park,云门New Park
瑞虹新天地太阳宫,瑞虹新天地太阳宫
龙湖北京亦庄天街,龙湖北京亦庄天街
伟东·乐客城,伟东·乐客城
国贸商城,国贸商城
北京apm,北京apm
SM天津滨海城市广场,SM天津滨海城市广场
ist艾尚天地,ist艾尚天地
天津万象城,天津万象城
威高广场A馆,威高广场
MOMOPARK艺术购物中心,MOMOPARK艺术购物中心
金鹰(京华城店),金鹰
韩国购物城,韩国购物城
上海恒隆广场,上海恒隆广场
北京富力广场,北京富力广场
润达国际购物中心,润达国际购物中心
上海合生汇,上海合生汇
珠海斗门世荣万达广场,珠海斗门世荣万达广场
西安西咸吾悦广场,西安西咸吾悦广场
上海ifc商场,上海ifc商场
天津梅江环宇城,天津梅江环宇城
龙湖·上海奉贤天街,龙湖·上海奉贤天街
上海松江印象城,上海松江印象城
玄武招商花园城,玄武招商花园城
南京鹏欣·水游城,南京鹏欣·水游城
朝阳大悦城,朝阳大悦城
上海南翔印象城MEGA,上海南翔印象城MEGA
龙湖重庆北城天街,龙湖重庆北城天街
华贸购物中心,华贸购物中心
保百购物广场,保百购物广场
时代天街E馆,时代天街E馆
