mall_code,name,city_name,district_name,existing_poi,status,candidate_poi_id,candidate_name,score,distance_m,need_review,action,lat,lng
MALL_35BFDB6B,商业城,朝阳市,双塔区,B0FFITFY4Y,matched,B0FFITFY4Y,商业城,0.0,0.0,True,kept_existing,41.576028,120.453103
MALL_2ACA7EA8,金META·沈阳金科购物中心(建设中),沈阳市,皇姑区,B0G0N5WXV2,matched,B0G0N5WXV2,金META·沈阳金科购物中心(金科·集美天城店)(建设中),50.0,0.0,True,kept_existing,41.902575,123.397536
MALL_229B3999,购物中心,葫芦岛市,连山区,B0FFIA47TC,matched,B0FFIA47TC,购物中心(葫芦岛市锦西商场店),0.0,0.0,True,kept_existing,40.75797,120.86164
MALL_6334E48E,购物中心,重庆郊县,云阳县,B0J2O4DDSL,matched,B0J2O4DDSL,购物中心,0.0,0.0,True,kept_existing,31.132806,108.810114
MALL_558DB3DE,万达广场(建设中),重庆郊县,垫江县,B0GR07YQ27,matched,B0GR07YQ27,万达广场(重庆垫江店)(建设中),50.0,0.0,True,kept_existing,30.318307,107.36532
MALL_5ECCC190,奥特莱斯,重庆城区,大足区,B0L0BUUXWD,matched,B0L0BUUXWD,奥特莱斯,0.0,0.0,True,kept_existing,29.697725,105.712125
MALL_F7145821,万达广场(暂停营业),重庆郊县,奉节县,B0I0YMT2LO,matched,B0I0YMT2LO,万达广场(重庆奉节店)(暂停营业),50.0,0.0,True,kept_existing,31.020546,109.405433
MALL_217760BF,商业中心,重庆城区,江津区,B0FFKPSMJT,matched,B0FFKPSMJT,商业中心,0.0,0.0,True,kept_existing,29.423984,106.278144
MALL_92E82D1B,新世纪百货(装修中),重庆城区,璧山区,B0FFGHNDB3,matched,B0FFGHNDB3,新世纪百货(璧山店)(装修中),50.0,0.0,True,kept_existing,29.575653,106.22278
MALL_75F074E1,文昌·时光天街茶话弄,榆林市,榆阳区,B0L37SLWD7,matched,B0H2YZWUYO,文昌·时光天街,75.0,0.0,True,mismatch_review,38.238153,109.747895
MALL_974B87D3,新百大卖场(暂停营业),榆林市,靖边县,B0FFH87G2E,matched,B0FFH87G2E,新百大卖场(新华百货店)(暂停营业),50.0,0.0,True,kept_existing,37.598064,108.80764
MALL_05321D91,购物中心,汉中市,南郑区,B0I049U7K2,matched,B0I049U7K2,购物中心(利和银座店),0.0,0.0,True,kept_existing,33.042601,107.029243
MALL_E85F8235,购物广场,渭南市,韩城市,B0JD96RD8A,matched,B0JD96RD8A,购物广场,0.0,0.0,True,kept_existing,35.466035,110.435248
MALL_2F4B0CF6,购物中心,海西蒙古族藏族自治州,都兰县,B0J1R1KAXU,matched,B0J1R1KAXU,购物中心,0.0,0.0,True,kept_existing,36.43819,96.434859
MALL_5D2C1BC6,奥特莱斯,佳木斯市,前进区,B0JDCA4XH3,matched,B0JDCA4XH3,奥特莱斯(祥和人家店),0.0,0.0,True,kept_existing,46.817843,130.376545
MALL_A8751A9A,新宏基广场(装修中),双鸭山市,宝清县,B0FFGXUBER,matched,B0FFGXUBER,新宏基广场(御景旷世店)(装修中),50.0,0.0,True,kept_existing,46.326596,132.201778
MALL_64DC05F2,商业广场,哈尔滨市,宾县,B0FFHF9BFD,matched,B0FFHF9BFD,商业广场,0.0,0.0,True,kept_existing,45.76235,127.163435
