change_type,mall_code,name,old_category,new_category,old_level,new_level,reason
category,MALL_32D87C72,金河商贸城,department_store,shopping_mall,,,keyword_shopping
category,MALL_B9430532,全家湾广场,department_store,shopping_mall,,,keyword_shopping
category,MALL_15670A93,城东商场,department_store,shopping_mall,,,keyword_shopping
category,MALL_EBE151BD,宝龙商场,department_store,shopping_mall,,,typecode_0601
category,MALL_77928ADA,新世界商贸城,department_store,shopping_mall,,,keyword_shopping
category,MALL_462FC338,新世纪超市,department_store,shopping_mall,,,typecode_0601
category,MALL_39A4538A,东门商城,department_store,shopping_mall,,,keyword_shopping
category,MALL_5479EF79,中天商贸城,department_store,shopping_mall,,,keyword_shopping
category,MALL_31BF1A54,帝王商贸城,department_store,shopping_mall,,,keyword_shopping
category,MALL_45064FF4,河池万商城,department_store,shopping_mall,,,keyword_shopping
category,MALL_DDA83C71,龙福商场,department_store,shopping_mall,,,typecode_0601
category,MALL_BC39BBD1,新世纪超市,department_store,shopping_mall,,,typecode_0601
category,MALL_A8255F84,环江凯丰商贸城,department_store,shopping_mall,,,keyword_shopping
category,MALL_9269EDB8,环江商贸城,department_store,shopping_mall,,,keyword_shopping
category,MALL_CF9E2E64,中央广场,department_store,shopping_mall,,,keyword_shopping
category,MALL_8AAECDA9,城南路商贸广场,department_store,shopping_mall,,,keyword_shopping
category,MALL_8AF9C5CB,三和·都安商业广场,department_store,shopping_mall,,,keyword_shopping
category,MALL_F8FDEA1A,供销银河商场,department_store,shopping_mall,,,typecode_0601
category,MALL_D4D65ED6,南门时尚商场,department_store,shopping_mall,,,typecode_0601
category,MALL_824ACA49,宏杰商贸城,department_store,shopping_mall,,,keyword_shopping
category,MALL_917A0C74,中心商场(白马步行街),department_store,shopping_mall,,,keyword_shopping
category,MALL_E1002F6A,双星商贸城,department_store,shopping_mall,,,keyword_shopping
category,MALL_A9DBDE86,奇隆购物广场,department_store,shopping_mall,,,keyword_shopping
category,MALL_C9FAFDE4,白土供销社综合商场,department_store,shopping_mall,,,typecode_0601
category,MALL_FD5068A4,银座旺达商场,department_store,shopping_mall,,,typecode_0601
category,MALL_9CE72448,云天·商贸城,department_store,shopping_mall,,,keyword_shopping
category,MALL_502F9D4B,兴业商业文化中心(兴业县政协东南),department_store,shopping_mall,,,keyword_shopping
category,MALL_DE3A578B,蒲塘商场,department_store,shopping_mall,,,typecode_0601
category,MALL_34C94ADD,蒲塘商贸中心,department_store,shopping_mall,,,keyword_shopping
category,MALL_925C3AAE,万丰城9+2,department_store,shopping_mall,,,keyword_shopping
category,MALL_2CFD6165,万顺商业广场,department_store,shopping_mall,,,keyword_shopping
category,MALL_A7F0F14B,北流市千万商厦,department_store,shopping_mall,,,typecode_0601
category,MALL_D0E38431,北流市新丰供销社综合服务站,department_store,shopping_mall,,,typecode_0601
category,MALL_5C31C65F,国大商场,department_store,shopping_mall,,,typecode_0601
category,MALL_CBB78AEF,微笑100购物广场,department_store,shopping_mall,,,keyword_shopping
category,MALL_70A2F2C7,民安供销社西山商场,department_store,shopping_mall,,,typecode_0601
category,MALL_533D1C20,皇冠假日商厦,department_store,shopping_mall,,,typecode_0601
category,MALL_9305BC8E,三和商场,department_store,shopping_mall,,,typecode_0601
category,MALL_19EF59AC,东风商场,department_store,shopping_mall,,,typecode_0601
category,MALL_E667F976,兴隆商业广场,department_store,shopping_mall,,,keyword_shopping
category,MALL_CF41B0BC,恒信商业广场,department_store,shopping_mall,,,keyword_shopping
category,MALL_9E332991,新街口商业广场,department_store,shopping_mall,,,keyword_shopping
category,MALL_3D4E8D9D,时代广场,department_store,shopping_mall,,,keyword_shopping
category,MALL_6C4724A7,正泰商业广场,department_store,shopping_mall,,,keyword_shopping
category,MALL_B2F530B4,紫龙庭商贸城,department_store,shopping_mall,,,keyword_shopping
category,MALL_58319478,谛成豪庭商业广场,department_store,shopping_mall,,,keyword_shopping
category,MALL_42007148,金三角购物商场,department_store,shopping_mall,,,keyword_shopping
category,MALL_9C6C205B,南方黑芝麻黑五类商业城,department_store,shopping_mall,,,keyword_shopping
category,MALL_1D6C6DE4,大乐惠购物广场,department_store,shopping_mall,,,keyword_shopping
category,MALL_57C55D18,容州商业广场,department_store,shopping_mall,,,keyword_shopping
category,MALL_352B04F2,富鸿城购物广场,department_store,shopping_mall,,,keyword_shopping
category,MALL_E49BAEDF,金邦商城,department_store,shopping_mall,,,keyword_shopping
category,MALL_BE523053,东森商业广场,department_store,shopping_mall,,,keyword_shopping
category,MALL_199C4B4B,南兴广场,department_store,shopping_mall,,,keyword_shopping
category,MALL_17AE7AAF,南江商贸城,department_store,shopping_mall,,,keyword_shopping
category,MALL_423E56A0,嘉和商城,department_store,shopping_mall,,,keyword_shopping
category,MALL_12187D00,好声音商厦,department_store,shopping_mall,,,typecode_0601
category,MALL_FB6EE521,弘润商业广场,department_store,shopping_mall,,,keyword_shopping
category,MALL_0B192F75,明凯商厦,department_store,shopping_mall,,,typecode_0601
category,MALL_6A59AA39,燕赵商城,department_store,shopping_mall,,,keyword_shopping
category,MALL_6609BD37,玉林·毅德国际商贸城-4号交易广场,department_store,shopping_mall,,,keyword_shopping
category,MALL_498C72D7,玉林·毅德国际商贸城-5号馆,department_store,shopping_mall,,,keyword_shopping
category,MALL_39776EDF,玉林市大新商贸城,department_store,shopping_mall,,,keyword_shopping
category,MALL_00EA7CC3,玉林市工业品市场2区,department_store,shopping_mall,,,typecode_0601
category,MALL_37AAE47E,玉林文化广场专卖店,department_store,shopping_mall,,,keyword_shopping
category,MALL_7C385FC9,玉林毅德国际商贸城1号馆,department_store,shopping_mall,,,keyword_shopping
category,MALL_6858B9D8,玉林毅德国际商贸城2号馆,department_store,shopping_mall,,,keyword_shopping
category,MALL_43D98570,百花汇购物广场,department_store,shopping_mall,,,keyword_shopping
category,MALL_2D09EBC7,碧桂园·凤凰广场,department_store,shopping_mall,,,keyword_shopping
category,MALL_57AA7957,金港湾广场,department_store,shopping_mall,,,keyword_shopping
category,MALL_7C227746,银丰广场,department_store,shopping_mall,,,keyword_shopping
category,MALL_BC61CAB9,玉林市福绵区新桥镇丽江商贸城,department_store,shopping_mall,,,keyword_shopping
category,MALL_849EBC19,南兴商厦,department_store,shopping_mall,,,typecode_0601
category,MALL_0FC9F5CA,新洲商贸城,department_store,shopping_mall,,,keyword_shopping
category,MALL_00F9FDD9,永顺商贸城,department_store,shopping_mall,,,keyword_shopping
category,MALL_6CB50056,银兴商场流行港,department_store,shopping_mall,,,typecode_0601
category,MALL_9FDDE713,陆川县马坡镇大兴宝利宝购物广场,department_store,shopping_mall,,,keyword_shopping
category,MALL_E36994D0,陆川王,department_store,shopping_mall,,,typecode_0601
category,MALL_7C357963,聚源大卖场,department_store,shopping_mall,,,typecode_0601
category,MALL_659A90F4,一世界批发城,department_store,shopping_mall,,,keyword_shopping
category,MALL_791B3F24,东洲商业广场,department_store,shopping_mall,,,keyword_shopping
category,MALL_6F50D601,川惠东风商贸城,department_store,shopping_mall,,,keyword_shopping
category,MALL_380EB750,恒升·女人世界,department_store,shopping_mall,,,typecode_0601
category,MALL_67BFA1D4,森林中心城,department_store,shopping_mall,,,keyword_shopping
category,MALL_505DACF4,爱琴海购物公园,department_store,shopping_mall,,,keyword_shopping
category,MALL_BCD3A41E,金世纪商业广场(中山一路),department_store,shopping_mall,,,keyword_shopping
category,MALL_2B5E26F3,金地商城,department_store,shopping_mall,,,keyword_shopping
category,MALL_75064870,金牌时尚商场,department_store,shopping_mall,,,typecode_0601
category,MALL_60B8CC74,万冠商业广场,department_store,shopping_mall,,,keyword_shopping
category,MALL_09BEA8A9,中环商业广场,department_store,shopping_mall,,,keyword_shopping
category,MALL_5D766CB1,商业广场,department_store,shopping_mall,,,keyword_shopping
category,MALL_9720102E,天益购物广场,department_store,shopping_mall,,,keyword_shopping
category,MALL_1EB348B7,太平洋大卖场,department_store,shopping_mall,,,typecode_0601
category,MALL_974DFB3F,新时代商业广场,department_store,shopping_mall,,,keyword_shopping
category,MALL_A450DC0A,遇见发艺,department_store,shopping_mall,,,typecode_0601
category,MALL_9F32EECC,金龙购物中心,department_store,shopping_mall,,,keyword_shopping
category,MALL_9385ADCE,财富广场,department_store,shopping_mall,,,keyword_shopping
category,MALL_D9D9FA2E,商都中心,department_store,shopping_mall,,,keyword_shopping
category,MALL_B717C9F6,百通世界·商贸城,department_store,shopping_mall,,,keyword_shopping
category,MALL_D4E47536,粮食局综合商场,department_store,shopping_mall,,,typecode_0601
category,MALL_DE6E179D,新世纪超市,department_store,shopping_mall,,,typecode_0601
category,MALL_2CD3FBA7,田林金鸿商业广场,department_store,shopping_mall,,,keyword_shopping
category,MALL_01A5AFAE,东盟财富城,department_store,shopping_mall,,,keyword_shopping
category,MALL_648628C5,商业广场,department_store,shopping_mall,,,keyword_shopping
category,MALL_BCFA892B,田阳万和商业广场,department_store,shopping_mall,,,keyword_shopping
category,MALL_7D63A0CF,田阳商贸城,department_store,shopping_mall,,,keyword_shopping
category,MALL_53FB9DEF,长盛商业综合广场,department_store,shopping_mall,,,keyword_shopping
category,MALL_9701F1AA,惠家购物商城,department_store,shopping_mall,,,keyword_shopping
category,MALL_B47F7821,幸福商贸城,department_store,shopping_mall,,,keyword_shopping
