mall_code,name,city_name,district_name,existing_poi,status,candidate_poi_id,candidate_name,score,distance_m,need_review,action
MALL_7424956F,美罗城,上海城区,徐汇区,B00154DTEG,matched,B00154DTEG,美罗城,90.0,0.0,False,kept_existing
MALL_F60D0B2C,飞洲国际广场(零陵路),上海城区,徐汇区,B00151CC90,matched,B00151CC90,飞洲国际广场(零陵路),90.0,0.0,False,kept_existing
MALL_32AFDF8D,龙湖上海华泾天街,上海城区,徐汇区,B0FFJHKGV7,matched,B0FFJHKGV7,龙湖上海华泾天街,90.0,0.0,False,kept_existing
MALL_E192D5B0,118广场,上海城区,普陀区,B00155KVYR,matched,B00155KVYR,118广场(金沙江路店),75.0,0.0,False,kept_existing
MALL_C7170C7A,189弄购物中心,上海城区,普陀区,B0FFH54P0C,matched,B0FFH54P0C,189弄购物中心,90.0,0.0,False,kept_existing
MALL_5B52DF11,上海友谊商店,上海城区,普陀区,B00155QTP5,matched,B00155QTP5,上海友谊商店,90.0,0.0,False,kept_existing
MALL_93DE4D38,上海复悦荟,上海城区,普陀区,B00156O4FW,matched,B00156O4FW,上海复悦荟,90.0,0.0,False,kept_existing
MALL_F6DE7810,上海月星环球港,上海城区,普陀区,B0FFF00NQV,matched,B0FFF00NQV,上海月星环球港,90.0,0.0,False,kept_existing
MALL_14C41561,上海百联中环购物广场B区,上海城区,普陀区,B0FFFRCGKG,matched,B0FFFRCGKG,上海百联中环购物广场B区,90.0,0.0,False,kept_existing
MALL_FF714BEB,上海真如环宇城MAX,上海城区,普陀区,B0H37CC65S,matched,B0H37CC65S,上海真如环宇城MAX,90.0,0.0,False,kept_existing
MALL_436BCD5F,上海长寿旭辉里,上海城区,普陀区,B0H3255TUP,matched,B0H3255TUP,上海长寿旭辉里,90.0,0.0,False,kept_existing
MALL_C8E54EC5,亚新生活广场,上海城区,普陀区,B00153949F,matched,B00153949F,亚新生活广场,90.0,0.0,False,kept_existing
MALL_B8E9800E,大洋晶典·天安千树1期,上海城区,普陀区,B0JU9CG3PH,matched,B0JU9CG3PH,大洋晶典·天安千树1期,90.0,0.0,False,kept_existing
MALL_1295C24F,天安千树 大洋晶典,上海城区,普陀区,B0FFMA0COY,matched,B0FFMA0COY,天安千树 大洋晶典,90.0,0.0,False,kept_existing
MALL_583C9385,巴黎春天,上海城区,普陀区,B00156TH20,matched,B00156TH20,巴黎春天(陕西路店),75.0,0.0,False,kept_existing
MALL_58E05A89,我格广场,上海城区,普陀区,B00155LYN1,matched,B00155LYN1,我格广场,90.0,0.0,False,kept_existing
MALL_BAD7D162,新邻天地,上海城区,普陀区,B0FFGIFKZT,matched,B0FFGIFKZT,新邻天地,90.0,0.0,False,kept_existing
MALL_6CE21AD0,星方汇,上海城区,普陀区,B0FFLMZZII,matched,B0FFLMZZII,星方汇,90.0,0.0,False,kept_existing
MALL_636B1D0F,汇融天地,上海城区,普陀区,B00155QFO4,matched,B00155QFO4,汇融天地,90.0,0.0,False,kept_existing
MALL_03061AF7,白丽生活广场,上海城区,普陀区,B0FFFFLLWL,matched,B0FFFFLLWL,白丽生活广场,90.0,0.0,False,kept_existing
MALL_AD5A992F,百联中环购物广场,上海城区,普陀区,B00155MF9R,matched,B00155MF9R,百联中环购物广场,90.0,0.0,False,kept_existing
MALL_2FAEDD7E,绿地缤纷城,上海城区,普陀区,B0G19S88QQ,matched,B0G19S88QQ,绿地缤纷城(普陀店),75.0,0.0,False,kept_existing
MALL_932796F9,豪浦广场,上海城区,普陀区,B0FFHITT3W,matched,B0FFHITT3W,豪浦广场,90.0,0.0,False,kept_existing
MALL_53630FAD,近铁城市广场,上海城区,普陀区,B00156F486,matched,B00156F486,近铁城市广场,90.0,0.0,False,kept_existing
MALL_3A088070,金沙·和美广场,上海城区,普陀区,B001573D2D,matched,B001573D2D,金沙·和美广场,90.0,0.0,False,kept_existing
MALL_1BCC8CEE,鑫意生活广场,上海城区,普陀区,B0FFH112V5,matched,B0FFH112V5,鑫意生活广场,90.0,0.0,False,kept_existing
MALL_C27EB968,长风大悦城,上海城区,普陀区,B00156E1IN,matched,B00156E1IN,长风大悦城,90.0,0.0,False,kept_existing
MALL_9B8B31C9,万达广场,上海城区,杨浦区,B0FFFR05MK,matched,B0FFFR05MK,万达广场(上海五角场店),75.0,0.0,False,kept_existing
MALL_981776C7,万达广场A区,上海城区,杨浦区,B0FFIKX5U4,matched,B0FFIKX5U4,万达广场A区,90.0,0.0,False,kept_existing
MALL_B682B0F3,万达广场C栋,上海城区,杨浦区,B00155FP7Y,matched,B00155FP7Y,万达广场C栋,90.0,0.0,False,kept_existing
MALL_C54427B8,万达广场E栋,上海城区,杨浦区,B0FFIKWZ70,matched,B0FFIKWZ70,万达广场E栋,90.0,0.0,False,kept_existing
MALL_3CF3BE77,三号湾广场,上海城区,杨浦区,B00155MPIV,matched,B00155MPIV,三号湾广场,90.0,0.0,False,kept_existing
MALL_EE81B029,上海合生汇,上海城区,杨浦区,B0FFHN0XRK,matched,B0FFHN0XRK,上海合生汇,90.0,0.0,False,kept_existing
MALL_2B25DC19,上海国际时尚中心,上海城区,杨浦区,B00156ECF7,matched,B00156ECF7,上海国际时尚中心,90.0,0.0,False,kept_existing
MALL_BD296837,东上海乐活广场,上海城区,杨浦区,B0015700E5,matched,B0015700E5,东上海乐活广场,90.0,0.0,False,kept_existing
MALL_D96D7B37,九隆坊,上海城区,杨浦区,B00155EK3N,matched,B00155EK3N,九隆坊,90.0,0.0,False,kept_existing
MALL_8CBB7BD9,凯迪·新都汇,上海城区,杨浦区,B00156O5S4,matched,B00156O5S4,凯迪·新都汇,90.0,0.0,False,kept_existing
MALL_E028B6C9,吉浦湾,上海城区,杨浦区,B0G3JK20BS,matched,B0G3JK20BS,吉浦湾,90.0,0.0,False,kept_existing
MALL_C75B89B0,同济联合广场,上海城区,杨浦区,B0FFF64PG6,matched,B0FFF64PG6,同济联合广场,90.0,0.0,False,kept_existing
MALL_E83995E1,太平洋生活广场,上海城区,杨浦区,B0FFGC3EAW,matched,B0FFGC3EAW,太平洋生活广场,90.0,0.0,False,kept_existing
MALL_EB9317AC,宝地广场D座,上海城区,杨浦区,B00156YLYY,matched,B00156YLYY,宝地广场D座,90.0,0.0,False,kept_existing
MALL_D4EEC7A3,巴黎春天,上海城区,杨浦区,B00155E0C7,matched,B00155E0C7,巴黎春天(五角场店),75.0,0.0,False,kept_existing
MALL_AC5F77D6,平盛时尚生活广场,上海城区,杨浦区,B0FFGYVK1F,matched,B0FFGYVK1F,平盛时尚生活广场,90.0,0.0,False,kept_existing
MALL_5279F7E5,悠方购物中心,上海城区,杨浦区,B0FFHPNP7J,matched,B0FFHPNP7J,悠方购物中心,90.0,0.0,False,kept_existing
MALL_6E77111C,新江湾城生活广场,上海城区,杨浦区,B0FFFPM16H,matched,B0FFFPM16H,新江湾城生活广场,90.0,0.0,False,kept_existing
MALL_137ABD2C,旭辉Mall,上海城区,杨浦区,B0FFH997UC,matched,B0FFH997UC,旭辉Mall,90.0,0.0,False,kept_existing
MALL_16D15498,江湾里MEET678,上海城区,杨浦区,B0JUHLWGJU,matched,B0JUHLWGJU,江湾里MEET678,90.0,0.0,False,kept_existing
MALL_F687339A,百联zx造趣场,上海城区,杨浦区,B0FFIQZ6WD,matched,B0FFIQZ6WD,百联zx造趣场,90.0,0.0,False,kept_existing
MALL_64C0BBC4,百联又一城购物中心,上海城区,杨浦区,B00155KDVJ,matched,B00155KDVJ,百联又一城购物中心,90.0,0.0,False,kept_existing
MALL_DD3870B3,百联滨江购物中心,上海城区,杨浦区,B0FFF4P3ME,matched,B0FFF4P3ME,百联滨江购物中心,90.0,0.0,False,kept_existing
MALL_23A0BCAE,紫荆广场(江浦路),上海城区,杨浦区,B00156O3L3,matched,B00156O3L3,紫荆广场(江浦路),90.0,0.0,False,kept_existing
MALL_E0BF849E,苏宁生活广场,上海城区,杨浦区,B0FFHRAE0A,matched,B0FFHRAE0A,苏宁生活广场,90.0,0.0,False,kept_existing
MALL_3C876C98,万达广场,上海城区,松江区,B0FFF5SHH7,matched,B0FFF5SHH7,万达广场(上海松江店),75.0,0.0,False,kept_existing
