old_id,old_mall_code,old_name,master_id,master_mall_code,master_name,merge_reason
7560,MALL_9D37CBAF,银座购物广场,7558,MALL_D71AEE9A,银座·奥特莱斯,same_name_norm_same_district
7497,MALL_F2AFED29,银座购物广场,7494,MALL_4FC57EDD,银座,same_name_norm_same_district
7691,MALL_4F20FA29,银座购物广场,7690,MALL_D867E775,银座购物广场,same_name_norm_same_district
7991,MALL_A1C1D0A3,银座商城,7990,MALL_A499B394,银座·奥特莱斯,same_name_norm_same_district
7955,MALL_9844622B,银座购物广场,7954,MALL_F51EFC3B,银座商城,same_name_norm_same_district
6646,MALL_11CFED17,银座商城,6645,MALL_9AE7C500,银座商城,same_name_norm_same_district
7717,MALL_057B0348,银座购物广场,7716,MALL_F1015F7F,银座商城,same_name_norm_same_district
7779,MALL_23BAD555,银座商城,7778,MALL_472994D9,银座商城,same_name_norm_same_district
7418,MALL_E339CF65,银座商城,7417,MALL_DF22DF3C,银座·奥特莱斯,same_name_norm_same_district
7419,MALL_CCBFF48B,银座商城,7417,MALL_DF22DF3C,银座·奥特莱斯,same_name_norm_same_district
7420,MALL_860F3789,银座商城,7417,MALL_DF22DF3C,银座·奥特莱斯,same_name_norm_same_district
7421,MALL_52303B65,银座商城,7417,MALL_DF22DF3C,银座·奥特莱斯,same_name_norm_same_district
8121,MALL_2562644A,银座广场,8120,MALL_AAB208DF,银座商城,same_name_norm_same_district
8122,MALL_C44F1B8A,银座购物广场,8120,MALL_AAB208DF,银座商城,same_name_norm_same_district
8123,MALL_D1083974,银座购物广场,8120,MALL_AAB208DF,银座商城,same_name_norm_same_district
8124,MALL_6139A835,银座购物广场,8120,MALL_AAB208DF,银座商城,same_name_norm_same_district
20302,MALL_CA0FD274,银座商城,20300,MALL_FD2AA092,银座商城,same_name_norm_same_district
20303,MALL_C56B0077,银座商城,20300,MALL_FD2AA092,银座商城,same_name_norm_same_district
21638,MALL_29FDC9F1,银泰百货,21637,MALL_DF8EA97B,银泰百货,same_name_norm_same_district
21773,MALL_A66878B9,银泰百货,21772,MALL_404358CB,银泰百货,same_name_norm_same_district
21801,MALL_B939BEF7,银泰百货,21800,MALL_81A5AC7D,银泰,same_name_norm_same_district
21499,MALL_3C441EF7,银泰百货,21498,MALL_62D8909E,银泰百货,same_name_norm_same_district
22323,MALL_58701728,银泰购物中心,22322,MALL_FE16526F,银泰百货,same_name_norm_same_district
22531,MALL_99951C08,银泰百货,22530,MALL_D35AC5FF,银泰百货,same_name_norm_same_district
5521,MALL_B997D183,银泰百货,5520,MALL_602AE77B,银泰百货,same_name_norm_same_district
10892,MALL_CA74B40D,锦发商城,10891,MALL_9EB66DBD,锦发商业广场,same_name_norm_same_district
28161,MALL_FB38EC31,锦辉购物广场,28160,MALL_4FCB37B5,锦辉购物广场,same_name_norm_same_district
25274,MALL_2CF5CD6B,长沙北辰荟(北馆),25273,MALL_2EC34CF1,长沙北辰荟(北馆),same_name_norm_same_district
6500,MALL_C3DD3E31,阜阳商厦中心,6499,MALL_D987B164,阜阳商厦,same_name_norm_same_district
15942,MALL_D5C16822,阳光购物中心,15941,MALL_8D5A6CB5,阳光购物中心,same_name_norm_same_district
