mall_code,name,city_name,district_name,lat,lng,amap_poi_id,brand_count,store_count,search_query_dev,search_query_opened
MALL_7424956F,美罗城,上海城区,徐汇区,31.192944,121.439649,B00154DTEG,2,2,上海城区美罗城 开发商,上海城区美罗城 开业时间
MALL_F6DE7810,上海月星环球港,上海城区,普陀区,31.233244,121.412625,B0FFF00NQV,2,2,上海城区上海月星环球港 开发商,上海城区上海月星环球港 开业时间
MALL_023C5A56,九亭金地广场,上海城区,松江区,31.139704,121.318483,B0FFKWS6RA,2,2,上海城区九亭金地广场 开发商,上海城区九亭金地广场 开业时间
MALL_A1E705DE,上海ifc商场,上海城区,浦东新区,31.236165,121.502326,B00155LGJZ,2,2,上海城区上海ifc商场 开发商,上海城区上海ifc商场 开业时间
MALL_2D04427F,上海第一八佰伴,上海城区,浦东新区,31.228205,121.516925,B00153A673,2,2,上海城区上海第一八佰伴 开发商,上海城区上海第一八佰伴 开业时间
MALL_3D262231,金桥国际商业广场,上海城区,浦东新区,31.255737,121.57947,B0HBKOTXCC,2,2,上海城区金桥国际商业广场 开发商,上海城区金桥国际商业广场 开业时间
MALL_6E28675B,龙阳广场,上海城区,浦东新区,31.203196,121.557635,B0FFF2LJB6,2,2,上海城区龙阳广场 开发商,上海城区龙阳广场 开业时间
MALL_6208A459,尚嘉中心,上海城区,长宁区,31.205688,121.407137,B00156O7KU,2,2,上海城区尚嘉中心 开发商,上海城区尚嘉中心 开业时间
MALL_EE001DA7,金虹桥商场,上海城区,长宁区,31.208938,121.402662,B0FFFRKA1J,2,2,上海城区金虹桥商场 开发商,上海城区金虹桥商场 开业时间
MALL_20F709E7,龙之梦城市生活中心,上海城区,长宁区,31.219137,121.416666,B001552NYO,2,2,上海城区龙之梦城市生活中心 开发商,上海城区龙之梦城市生活中心 开业时间
MALL_F6AE35B6,大宁国际商业广场,上海城区,静安区,31.274037,121.452239,B00155DLSA,2,2,上海城区大宁国际商业广场 开发商,上海城区大宁国际商业广场 开业时间
MALL_A70E0382,芮欧百货,上海城区,静安区,31.223318,121.447479,B0FFFA6WPS,2,2,上海城区芮欧百货 开发商,上海城区芮欧百货 开业时间
MALL_A5F0C08B,阳光购物广场,丽江市,宁蒗彝族自治县,27.278028,100.850639,B03781517N,2,2,丽江市阳光购物广场 开发商,丽江市阳光购物广场 开业时间
MALL_FDCE970C,华联购物广场,保山市,腾冲市,25.022333,98.499479,B036B0NB3A,2,2,保山市华联购物广场 开发商,保山市华联购物广场 开业时间
MALL_873115BD,天城商业,保山市,腾冲市,25.025536,98.493311,B0IDCK2G1P,2,2,保山市天城商业 开发商,保山市天城商业 开业时间
MALL_F6DBC2D6,中红海峡广场,大理白族自治州,大理市,25.595448,100.240697,B0FFIZR4D6,2,2,大理白族自治州中红海峡广场 开发商,大理白族自治州中红海峡广场 开业时间
MALL_5BE44344,七都国际广场,文山壮族苗族自治州,砚山县,23.611415,104.344203,B0H6HHGM4Q,2,2,文山壮族苗族自治州七都国际广场 开发商,文山壮族苗族自治州七都国际广场 开业时间
MALL_A381F791,朗悦湾广场,昆明市,五华区,25.119662,102.742945,B0FFK0EQGQ,2,2,昆明市朗悦湾广场 开发商,昆明市朗悦湾广场 开业时间
MALL_760182F9,美辰百货,昆明市,五华区,25.043156,102.701935,B036702A7C,2,2,昆明市美辰百货 开发商,昆明市美辰百货 开业时间
MALL_AE34C639,羊甫商业中心,昆明市,官渡区,24.976865,102.788173,B0FFFENEWN,2,2,昆明市羊甫商业中心 开发商,昆明市羊甫商业中心 开业时间
MALL_7C6DB377,新世纪商场,昆明市,晋宁区,24.706552,102.746897,B036708HK1,2,2,昆明市新世纪商场 开发商,昆明市新世纪商场 开业时间
MALL_35EA70EA,东风商场,曲靖市,富源县,25.473124,104.324635,B0FFHAJPVY,2,2,曲靖市东风商场 开发商,曲靖市东风商场 开业时间
MALL_E0B0EC97,天元广场,楚雄彝族自治州,元谋县,25.703079,101.871489,B036E00AP2,2,2,楚雄彝族自治州天元广场 开发商,楚雄彝族自治州天元广场 开业时间
MALL_EDA6E83C,新龙江广场,楚雄彝族自治州,楚雄市,25.037961,101.54619,B036E00C6T,2,2,楚雄彝族自治州新龙江广场 开发商,楚雄彝族自治州新龙江广场 开业时间
MALL_0E006ECA,万泰城,兴安盟,扎赉特旗,46.722261,122.906922,B0FFKCERTY,2,2,兴安盟万泰城 开发商,兴安盟万泰城 开业时间
MALL_F02B9681,维多利喜悦汇,呼和浩特市,新城区,40.864852,111.691644,B0FFI8RPIF,2,2,呼和浩特市维多利喜悦汇 开发商,呼和浩特市维多利喜悦汇 开业时间
MALL_078A4D35,维多利摩尔城A座,呼和浩特市,赛罕区,40.830352,111.710004,B0FFFAFAST,2,2,呼和浩特市维多利摩尔城A座 开发商,呼和浩特市维多利摩尔城A座 开业时间
MALL_259EE709,新世纪商城,赤峰市,克什克腾旗,43.247266,117.536637,B0FFJ068VL,2,2,赤峰市新世纪商城 开发商,赤峰市新世纪商城 开业时间
MALL_4827A245,温州商城,通辽市,科尔沁左翼后旗,42.951712,122.352985,B01DB0MIK8,2,2,通辽市温州商城 开发商,通辽市温州商城 开业时间
MALL_8D2A3919,万博广场,鄂尔多斯市,东胜区,39.829181,109.978269,B0GUA9CI9H,2,2,鄂尔多斯市万博广场 开发商,鄂尔多斯市万博广场 开业时间
MALL_971F062C,银河购物,鄂尔多斯市,准格尔旗,39.865317,111.243453,B01DD0HZS8,2,2,鄂尔多斯市银河购物 开发商,鄂尔多斯市银河购物 开业时间
MALL_519F54ED,百荣世贸商城,北京城区,东城区,39.860897,116.398399,B000A8446U,2,2,北京城区百荣世贸商城 开发商,北京城区百荣世贸商城 开业时间
MALL_3EF3E268,上品折扣,北京城区,丰台区,39.850955,116.358333,B000AAF94Z,2,2,北京城区上品折扣 开发商,北京城区上品折扣 开业时间
MALL_0FB433AD,凤翔商厦,北京城区,怀柔区,40.314253,116.631371,B000A7OYK3,2,2,北京城区凤翔商厦 开发商,北京城区凤翔商厦 开业时间
MALL_0692EA75,燕隆汇生活广场,北京城区,房山区,39.711109,116.062261,B0J0RZMRON,2,2,北京城区燕隆汇生活广场 开发商,北京城区燕隆汇生活广场 开业时间
MALL_F79A41DF,路劲世界广场,北京城区,昌平区,40.206866,116.291906,B0FFKRTWAI,2,2,北京城区路劲世界广场 开发商,北京城区路劲世界广场 开业时间
MALL_363FA6AC,首开LONG街,北京城区,昌平区,40.084725,116.371438,B0IA3XGI20,2,2,北京城区首开LONG街 开发商,北京城区首开LONG街 开业时间
MALL_A0724008,双安商场,北京城区,海淀区,39.966354,116.325813,B000A7AFF1,2,2,北京城区双安商场 开发商,北京城区双安商场 开业时间
MALL_B759098D,新辰里,北京城区,海淀区,40.008667,116.354362,B000A88DTH,2,2,北京城区新辰里 开发商,北京城区新辰里 开业时间
MALL_D63D5A9B,长安商场,北京城区,西城区,39.907838,116.345154,B000A4E931,2,2,北京城区长安商场 开发商,北京城区长安商场 开业时间
MALL_DA72DDB0,国泰生活广场,北京城区,顺义区,40.046437,116.602821,B000A8XLYP,2,2,北京城区国泰生活广场 开发商,北京城区国泰生活广场 开业时间
MALL_FA58C8CC,中东新生活,吉林市,船营区,43.861979,126.526733,B01B0024P9,2,2,吉林市中东新生活 开发商,吉林市中东新生活 开业时间
MALL_8B6517E4,百利城,延边朝鲜族自治州,延吉市,42.907177,129.513133,B0FFFN4KMJ,2,2,延边朝鲜族自治州百利城 开发商,延边朝鲜族自治州百利城 开业时间
MALL_30500518,中心商城,松原市,前郭尔罗斯蒙古族自治县,45.114939,124.822372,B01B60MMJF,2,2,松原市中心商城 开发商,松原市中心商城 开业时间
MALL_957D3296,合兴大厦,白山市,浑江区,41.938553,126.423564,B01B700BWO,2,2,白山市合兴大厦 开发商,白山市合兴大厦 开业时间
MALL_59593300,力旺广场,长春市,朝阳区,43.840732,125.290844,B0FFGY6JEE,2,2,长春市力旺广场 开发商,长春市力旺广场 开业时间
MALL_167C4EB5,仁和广场,南充市,顺庆区,30.81888,106.077831,B0FFI0BQFL,2,2,南充市仁和广场 开发商,南充市仁和广场 开业时间
MALL_056CA06B,中明广场,宜宾市,江安县,28.723683,105.058831,B0G3NUR0FH,2,2,宜宾市中明广场 开发商,宜宾市中明广场 开业时间
MALL_138C0D68,航利广场,成都市,彭州市,30.987777,103.954694,B0FFL9QYFA,2,2,成都市航利广场 开发商,成都市航利广场 开业时间
MALL_B9097F07,莱蒙都会,成都市,武侯区,30.631569,104.033674,B0FFIGASGX,2,2,成都市莱蒙都会 开发商,成都市莱蒙都会 开业时间
MALL_2E428316,瑞云欣广场,成都市,邛崃市,30.401741,103.462481,B0FFF00B5N,2,2,成都市瑞云欣广场 开发商,成都市瑞云欣广场 开业时间
MALL_317D64A5,晶融汇,成都市,锦江区,30.651415,104.08209,B001C8QJIB,2,2,成都市晶融汇 开发商,成都市晶融汇 开业时间
MALL_DD1FCB59,银石广场,成都市,锦江区,30.653141,104.079683,B001C8X4RV,2,2,成都市银石广场 开发商,成都市银石广场 开业时间
MALL_85A6C46E,金瓯广场,攀枝花市,东区,26.57309,101.727493,B032C0M5CH,2,2,攀枝花市金瓯广场 开发商,攀枝花市金瓯广场 开业时间
MALL_01A56E9C,新世界商场,泸州市,古蔺县,28.042635,105.813875,B033E0NGSA,2,2,泸州市新世界商场 开发商,泸州市新世界商场 开业时间
MALL_EC75E83E,凯立广场,遂宁市,射洪市,30.882672,105.385344,B0H1NC9X4H,2,2,遂宁市凯立广场 开发商,遂宁市凯立广场 开业时间
MALL_D4454FA6,汇城广场,天津城区,东丽区,39.084542,117.30636,B0FFF0EMNE,2,2,天津城区汇城广场 开发商,天津城区汇城广场 开业时间
MALL_0EAEB480,商贸园,天津城区,北辰区,39.216408,117.183244,B0HK5SL8NP,2,2,天津城区商贸园 开发商,天津城区商贸园 开业时间
MALL_13E81FDA,乐宾百货,天津城区,和平区,39.120217,117.195045,B00160E4WY,2,2,天津城区乐宾百货 开发商,天津城区乐宾百货 开业时间
MALL_F1C6D0C5,天津海信广场,天津城区,和平区,39.117519,117.218004,B00160E7RR,2,2,天津城区天津海信广场 开发商,天津城区天津海信广场 开业时间
MALL_38EFFC59,金海岸广场,天津城区,武清区,39.353498,117.070634,B0016152DG,2,2,天津城区金海岸广场 开发商,天津城区金海岸广场 开业时间
MALL_E12A440C,嘉里汇,天津城区,河东区,39.127266,117.21696,B0FFF6YL4R,2,2,天津城区嘉里汇 开发商,天津城区嘉里汇 开业时间
MALL_45CB53CC,悦海广场,天津城区,河北区,39.180124,117.208435,B0FFH1O1YT,2,2,天津城区悦海广场 开发商,天津城区悦海广场 开业时间
MALL_859929C1,供销商厦,天津城区,津南区,38.988257,117.385173,B001604FD5,2,2,天津城区供销商厦 开发商,天津城区供销商厦 开业时间
MALL_23BFB2D3,益海商厦,天津城区,蓟州区,40.044376,117.417694,B0016151BN,2,2,天津城区益海商厦 开发商,天津城区益海商厦 开业时间
MALL_A3E50565,银桥商场,天津城区,静海区,38.933276,116.945474,B00160F5GY,2,2,天津城区银桥商场 开发商,天津城区银桥商场 开业时间
