mall_id,mall_name,original_name,mall_lat,mall_lng,amap_poi_id,city,source,store_count,dji_reported,dji_exclusive,dji_target,dji_opened,insta_opened,province
MALL_00329,三亚国际免税城1期,三亚国际免税城1期,18.371955,109.750891,,三亚市,memory,1,0,0,0,1,0,海南省
MALL_00330,太原吾悦广场,太原吾悦广场,37.871697,112.519476,,太原市,memory,1,0,1,0,1,0,山西省
MALL_00331,同德·昆明广场,同德·昆明广场,25.068064,102.723753,,昆明市,memory,1,0,0,0,1,0,云南省
MALL_00332,上海万象城,上海万象城,31.169472,121.367874,,上海市,memory,2,1,0,1,1,1,上海市
MALL_00333,柏威年,柏威年,38.918042,121.629067,B0FFFFYHP0,大连市,memory,1,0,1,0,1,0,辽宁省
MALL_00334,杭州大厦购物城D座(华浙店),杭州大厦购物城D座(华浙店),30.274269,120.159949,,杭州市,memory,1,0,0,0,1,0,浙江省
MALL_00335,北京 skp,北京 skp,39.911343,116.4752465,,北京市,store_coordinate,2,0,0,0,1,1,北京市
MALL_00336,宁波环球银泰城,宁波环球银泰城,29.796625,121.545412,,宁波市,memory,1,0,0,0,1,0,浙江省
MALL_00337,万象前海,万象前海,22.531015,113.899626,,深圳市,memory,1,0,1,0,1,0,广东省
MALL_00338,江门新会万达,江门新会万达,22.504177,113.046776,,江门市,memory,1,1,0,0,1,0,广东省
MALL_00339,上海合生汇,上海合生汇,31.299787,121.517962,,上海市,memory,2,0,0,0,1,1,上海市
MALL_00340,凯德广场,凯德广场,40.79709,111.678631,,呼和浩特市,memory,1,0,0,0,1,0,内蒙古自治区
MALL_00341,贵和购物中心,贵和购物中心,36.663997,117.025665,,济南市,memory,1,0,0,0,1,0,山东省
MALL_00342,沣西吾悦广场,沣西吾悦广场,34.301865,108.730538,,咸阳市,memory,1,0,0,0,1,0,陕西省
MALL_00343,KKMALL京基百纳空间,KKMALL京基百纳空间,22.543858,114.106877,,深圳市,memory,1,0,1,0,1,0,广东省
MALL_00344,龙湖·西宸天街,龙湖·西宸天街,30.697837,104.031943,,成都市,memory,2,0,0,1,1,1,四川省
MALL_00345,上海恒隆广场,上海恒隆广场,31.227845,121.453484,,上海市,memory,1,0,0,0,1,0,上海市
MALL_00346,重庆江北国际机场T3A,重庆江北国际机场T3A,29.710286,106.654508,,重庆市,memory,1,0,0,0,1,0,重庆市
MALL_00347,中兴-沈阳商业大厦(兰州北街),中兴-沈阳商业大厦(兰州北街),41.793463,123.400618,,沈阳市,memory,1,0,1,0,1,0,辽宁省
