mall_code,name,existing_poi,candidate_poi,chosen_poi,existing_dist_m,candidate_dist_m,reason
MALL_1A682613,购物广场,B0FFGJ6SOU,B0FFGJ6SOU,B0FFGJ6SOU,0.0,0.0,switched_better_distance
MALL_2E0E5453,奥特莱斯,B0LU4CZLYB,B0LU4CZLYB,B0LU4CZLYB,0.0,0.0,switched_better_distance
MALL_A10F9110,购物中心,B0H2RK1ECY,B0H2RK1ECY,B0H2RK1ECY,0.0,0.0,switched_better_distance
MALL_65A51E5A,购物广场,B0JR9NDDH6,B0JR9NDDH6,B0JR9NDDH6,0.0,0.0,switched_better_distance
MALL_7DEDC586,购物广场,B0I336LY3L,B0I336LY3L,B0I336LY3L,0.0,0.0,switched_better_distance
MALL_9F4CF58C,万象城,B0I3FLUSAX,B0I3FLUSAX,B0I3FLUSAX,0.0,0.0,switched_better_distance
MALL_52C07D8B,中心城,B0FFI6DJMY,B03560NL5R,B03560NL5R,0.0,108.5391637132419,switched_better_distance
MALL_2CA68191,商业城,B0HKOUKTN9,B0HKOUKTN9,B0HKOUKTN9,0.0,0.0,switched_better_distance
MALL_FFFE2A78,兴隆大家庭(建设中),B0FFF4HBQV,B0FFF4HBQV,B0FFF4HBQV,0.0,0.0,switched_better_distance
MALL_35BFDB6B,商业城,B0FFITFY4Y,B0FFITFY4Y,B0FFITFY4Y,0.0,0.0,switched_better_distance
MALL_2ACA7EA8,金META·沈阳金科购物中心(建设中),B0G0N5WXV2,B0G0N5WXV2,B0G0N5WXV2,0.0,0.0,switched_better_distance
MALL_229B3999,购物中心,B0FFIA47TC,B0FFIA47TC,B0FFIA47TC,0.0,0.0,switched_better_distance
MALL_6334E48E,购物中心,B0J2O4DDSL,B0J2O4DDSL,B0J2O4DDSL,0.0,0.0,switched_better_distance
MALL_558DB3DE,万达广场(建设中),B0GR07YQ27,B0GR07YQ27,B0GR07YQ27,0.0,0.0,switched_better_distance
MALL_5ECCC190,奥特莱斯,B0L0BUUXWD,B0L0BUUXWD,B0L0BUUXWD,0.0,0.0,switched_better_distance
MALL_F7145821,万达广场(暂停营业),B0I0YMT2LO,B0I0YMT2LO,B0I0YMT2LO,0.0,0.0,switched_better_distance
MALL_217760BF,商业中心,B0FFKPSMJT,B0FFKPSMJT,B0FFKPSMJT,0.0,0.0,switched_better_distance
MALL_92E82D1B,新世纪百货(装修中),B0FFGHNDB3,B0FFGHNDB3,B0FFGHNDB3,0.0,0.0,switched_better_distance
MALL_75F074E1,文昌·时光天街茶话弄,B0L37SLWD7,B0H2YZWUYO,B0H2YZWUYO,0.0,0.0,switched_better_distance
MALL_974B87D3,新百大卖场(暂停营业),B0FFH87G2E,B0FFH87G2E,B0FFH87G2E,0.0,0.0,switched_better_distance
MALL_05321D91,购物中心,B0I049U7K2,B0I049U7K2,B0I049U7K2,0.0,0.0,switched_better_distance
MALL_E85F8235,购物广场,B0JD96RD8A,B0JD96RD8A,B0JD96RD8A,0.0,0.0,switched_better_distance
MALL_2F4B0CF6,购物中心,B0J1R1KAXU,B0J1R1KAXU,B0J1R1KAXU,0.0,0.0,switched_better_distance
MALL_5D2C1BC6,奥特莱斯,B0JDCA4XH3,B0JDCA4XH3,B0JDCA4XH3,0.0,0.0,switched_better_distance
MALL_A8751A9A,新宏基广场(装修中),B0FFGXUBER,B0FFGXUBER,B0FFGXUBER,0.0,0.0,switched_better_distance
MALL_64DC05F2,商业广场,B0FFHF9BFD,B0FFHF9BFD,B0FFHF9BFD,0.0,0.0,switched_better_distance
